latitude,longitude,k_value,description
-82.0,-31.999999999999943,0.03,Ice Sheet
-78.0,-31.999999999999943,0.03,Ice Sheet
-88.0,-29.999999999999943,0.03,Ice Sheet
-86.0,-29.999999999999943,0.03,Ice Sheet
-84.0,-29.999999999999943,0.03,Ice Sheet
-82.0,-29.999999999999943,0.03,Ice Sheet
-78.0,-29.999999999999943,0.03,Ice Sheet
-88.0,-27.999999999999943,0.03,Ice Sheet
-86.0,-27.999999999999943,0.03,Ice Sheet
-84.0,-27.999999999999943,0.03,Ice Sheet
-82.0,-27.999999999999943,0.03,Ice Sheet
-80.0,-27.999999999999943,0.03,Ice Sheet
-78.0,-27.999999999999943,0.03,Ice Sheet
-88.0,-25.999999999999943,0.03,Ice Sheet
-86.0,-25.999999999999943,0.03,Ice Sheet
-84.0,-25.999999999999943,0.03,Ice Sheet
-82.0,-25.999999999999943,0.03,Ice Sheet
-80.0,-25.999999999999943,0.03,Ice Sheet
-78.0,-25.999999999999943,0.03,Ice Sheet
-88.0,-23.999999999999943,0.03,Ice Sheet
-86.0,-23.999999999999943,0.03,Ice Sheet
-84.0,-23.999999999999943,0.03,Ice Sheet
-82.0,-23.999999999999943,0.03,Ice Sheet
-80.0,-23.999999999999943,0.03,Ice Sheet
-78.0,-23.999999999999943,0.03,Ice Sheet
-88.0,-21.999999999999943,0.03,Ice Sheet
-86.0,-21.999999999999943,0.03,Ice Sheet
-84.0,-21.999999999999943,0.03,Ice Sheet
-82.0,-21.999999999999943,0.03,Ice Sheet
-80.0,-21.999999999999943,0.03,Ice Sheet
-78.0,-21.999999999999943,0.03,Ice Sheet
-88.0,-19.999999999999943,0.03,Ice Sheet
-86.0,-19.999999999999943,0.03,Ice Sheet
-84.0,-19.999999999999943,0.03,Ice Sheet
-82.0,-19.999999999999943,0.03,Ice Sheet
-80.0,-19.999999999999943,0.03,Ice Sheet
-78.0,-19.999999999999943,0.03,Ice Sheet
-76.0,-19.999999999999943,0.03,Ice Sheet
-88.0,-17.999999999999943,0.03,Ice Sheet
-86.0,-17.999999999999943,0.03,Ice Sheet
-84.0,-17.999999999999943,0.03,Ice Sheet
-82.0,-17.999999999999943,0.03,Ice Sheet
-80.0,-17.999999999999943,0.03,Ice Sheet
-78.0,-17.999999999999943,0.03,Ice Sheet
-76.0,-17.999999999999943,0.03,Ice Sheet
-88.0,-15.999999999999943,0.03,Ice Sheet
-86.0,-15.999999999999943,0.03,Ice Sheet
-84.0,-15.999999999999943,0.03,Ice Sheet
-82.0,-15.999999999999943,0.03,Ice Sheet
-80.0,-15.999999999999943,0.03,Ice Sheet
-78.0,-15.999999999999943,0.03,Ice Sheet
-76.0,-15.999999999999943,0.03,Ice Sheet
-88.0,-13.999999999999943,0.03,Ice Sheet
-86.0,-13.999999999999943,0.03,Ice Sheet
-84.0,-13.999999999999943,0.03,Ice Sheet
-82.0,-13.999999999999943,0.03,Ice Sheet
-80.0,-13.999999999999943,0.03,Ice Sheet
-78.0,-13.999999999999943,0.03,Ice Sheet
-76.0,-13.999999999999943,0.03,Ice Sheet
-74.0,-13.999999999999943,0.03,Ice Sheet
-88.0,-11.999999999999943,0.03,Ice Sheet
-86.0,-11.999999999999943,0.03,Ice Sheet
-84.0,-11.999999999999943,0.03,Ice Sheet
-82.0,-11.999999999999943,0.03,Ice Sheet
-80.0,-11.999999999999943,0.03,Ice Sheet
-78.0,-11.999999999999943,0.03,Ice Sheet
-76.0,-11.999999999999943,0.03,Ice Sheet
-74.0,-11.999999999999943,0.03,Ice Sheet
-88.0,-9.999999999999943,0.03,Ice Sheet
-86.0,-9.999999999999943,0.03,Ice Sheet
-84.0,-9.999999999999943,0.03,Ice Sheet
-82.0,-9.999999999999943,0.03,Ice Sheet
-80.0,-9.999999999999943,0.03,Ice Sheet
-78.0,-9.999999999999943,0.03,Ice Sheet
-76.0,-9.999999999999943,0.03,Ice Sheet
-74.0,-9.999999999999943,0.03,Ice Sheet
-72.0,-9.999999999999943,0.03,Ice Sheet
-88.0,-7.999999999999943,0.03,Ice Sheet
-86.0,-7.999999999999943,0.03,Ice Sheet
-84.0,-7.999999999999943,0.03,Ice Sheet
-82.0,-7.999999999999943,0.03,Ice Sheet
-80.0,-7.999999999999943,0.03,Ice Sheet
-78.0,-7.999999999999943,0.03,Ice Sheet
-76.0,-7.999999999999943,0.03,Ice Sheet
-74.0,-7.999999999999943,0.03,Ice Sheet
-72.0,-7.999999999999943,0.03,Ice Sheet
-88.0,-5.999999999999943,0.03,Ice Sheet
-86.0,-5.999999999999943,0.03,Ice Sheet
-84.0,-5.999999999999943,0.03,Ice Sheet
-82.0,-5.999999999999943,0.03,Ice Sheet
-80.0,-5.999999999999943,0.03,Ice Sheet
-78.0,-5.999999999999943,0.03,Ice Sheet
-76.0,-5.999999999999943,0.03,Ice Sheet
-74.0,-5.999999999999943,0.03,Ice Sheet
-72.0,-5.999999999999943,0.03,Ice Sheet
-88.0,-3.999999999999943,0.03,Ice Sheet
-86.0,-3.999999999999943,0.03,Ice Sheet
-84.0,-3.999999999999943,0.03,Ice Sheet
-82.0,-3.999999999999943,0.03,Ice Sheet
-80.0,-3.999999999999943,0.03,Ice Sheet
-78.0,-3.999999999999943,0.03,Ice Sheet
-76.0,-3.999999999999943,0.03,Ice Sheet
-74.0,-3.999999999999943,0.03,Ice Sheet
-72.0,-3.999999999999943,0.03,Ice Sheet
-88.0,-1.9999999999999432,0.03,Ice Sheet
-86.0,-1.9999999999999432,0.03,Ice Sheet
-84.0,-1.9999999999999432,0.03,Ice Sheet
-82.0,-1.9999999999999432,0.03,Ice Sheet
-80.0,-1.9999999999999432,0.03,Ice Sheet
