latitude,longitude,k_value,description
42.0,-165.0,0.0003,Ocean
45.0,-165.0,0.0003,Ocean
48.0,-165.0,0.0003,Ocean
51.0,-165.0,0.0003,Ocean
54.0,-165.0,0.0003,Ocean
57.0,-165.0,0.0003,Ocean
60.0,-165.0,0.0003,Ocean
63.0,-165.0,0.0003,Ocean
69.0,-165.0,0.0003,Ocean
72.0,-165.0,0.0003,Ocean
75.0,-165.0,0.0003,Ocean
78.0,-165.0,0.0003,Ocean
81.0,-165.0,0.0003,Ocean
84.0,-165.0,0.0003,Ocean
87.0,-165.0,0.0003,Ocean
-84.0,-162.0,0.0003,Ocean
-81.0,-162.0,0.0003,Ocean
-78.0,-162.0,0.0003,Ocean
-75.0,-162.0,0.0003,Ocean
-72.0,-162.0,0.0003,Ocean
-69.0,-162.0,0.0003,Ocean
-66.0,-162.0,0.0003,Ocean
-63.0,-162.0,0.0003,Ocean
-60.0,-162.0,0.0003,Ocean
-57.0,-162.0,0.0003,Ocean
-54.0,-162.0,0.0003,Ocean
-51.0,-162.0,0.0003,Ocean
-48.0,-162.0,0.0003,Ocean
-45.0,-162.0,0.0003,Ocean
-42.0,-162.0,0.0003,Ocean
-39.0,-162.0,0.0003,Ocean
-36.0,-162.0,0.0003,Ocean
-33.0,-162.0,0.0003,Ocean
-30.0,-162.0,0.0003,Ocean
-27.0,-162.0,0.0003,Ocean
-24.0,-162.0,0.0003,Ocean
-21.0,-162.0,0.0003,Ocean
-18.0,-162.0,0.0003,Ocean
-15.0,-162.0,0.0003,Ocean
-12.0,-162.0,0.0003,Ocean
-9.0,-162.0,0.0003,Ocean
-6.0,-162.0,0.0003,Ocean
-3.0,-162.0,0.0003,Ocean
0.0,-162.0,0.0003,Ocean
3.0,-162.0,0.0003,Ocean
6.0,-162.0,0.0003,Ocean
9.0,-162.0,0.0003,Ocean
12.0,-162.0,0.0003,Ocean
15.0,-162.0,0.0003,Ocean
18.0,-162.0,0.0003,Ocean
21.0,-162.0,0.0003,Ocean
24.0,-162.0,0.0003,Ocean
27.0,-162.0,0.0003,Ocean
30.0,-162.0,0.0003,Ocean
33.0,-162.0,0.0003,Ocean
36.0,-162.0,0.0003,Ocean
39.0,-162.0,0.0003,Ocean
42.0,-162.0,0.0003,Ocean
45.0,-162.0,0.0003,Ocean
48.0,-162.0,0.0003,Ocean
51.0,-162.0,0.0003,Ocean
54.0,-162.0,0.0003,Ocean
57.0,-162.0,0.0003,Ocean
72.0,-162.0,0.0003,Ocean
75.0,-162.0,0.0003,Ocean
78.0,-162.0,0.0003,Ocean
81.0,-162.0,0.0003,Ocean
84.0,-162.0,0.0003,Ocean
87.0,-162.0,0.0003,Ocean
-84.0,-159.0,0.0003,Ocean
-81.0,-159.0,0.0003,Ocean
-78.0,-159.0,0.0003,Ocean
-75.0,-159.0,0.0003,Ocean
-72.0,-159.0,0.0003,Ocean
-69.0,-159.0,0.0003,Ocean
-66.0,-159.0,0.0003,Ocean
-63.0,-159.0,0.0003,Ocean
-60.0,-159.0,0.0003,Ocean
-57.0,-159.0,0.0003,Ocean
-54.0,-159.0,0.0003,Ocean
-51.0,-159.0,0.0003,Ocean
-48.0,-159.0,0.0003,Ocean
-45.0,-159.0,0.0003,Ocean
-42.0,-159.0,0.0003,Ocean
-39.0,-159.0,0.0003,Ocean
-36.0,-159.0,0.0003,Ocean
-33.0,-159.0,0.0003,Ocean
-30.0,-159.0,0.0003,Ocean
-27.0,-159.0,0.0003,Ocean
-24.0,-159.0,0.0003,Ocean
-21.0,-159.0,0.0003,Ocean
-18.0,-159.0,0.0003,Ocean
-15.0,-159.0,0.0003,Ocean
-12.0,-159.0,0.0003,Ocean
-9.0,-159.0,0.0003,Ocean
-6.0,-159.0,0.0003,Ocean
-3.0,-159.0,0.0003,Ocean
0.0,-159.0,0.0003,Ocean
3.0,-159.0,0.0003,Ocean
6.0,-159.0,0.0003,Ocean
9.0,-159.0,0.0003,Ocean
12.0,-159.0,0.0003,Ocean
15.0,-159.0,0.0003,Ocean
18.0,-159.0,0.0003,Ocean
21.0,-159.0,0.0003,Ocean
24.0,-159.0,0.0003,Ocean
27.0,-159.0,0.0003,Ocean
30.0,-159.0,0.0003,Ocean
33.0,-159.0,0.0003,Ocean
36.0,-159.0,0.0003,Ocean
39.0,-159.0,0.0003,Ocean
42.0,-159.0,0.0003,Ocean
45.0,-159.0,0.0003,Ocean
48.0,-159.0,0.0003,Ocean
51.0,-159.0,0.0003,Ocean
54.0,-159.0,0.0003,Ocean
57.0,-159.0,0.0003,Ocean
72.0,-159.0,0.0003,Ocean
75.0,-159.0,0.0003,Ocean
78.0,-159.0,0.0003,Ocean
81.0,-159.0,0.0003,Ocean
84.0,-159.0,0.0003,Ocean
87.0,-159.0,0.0003,Ocean
-84.0,-156.0,0.0003,Ocean
-81.0,-156.0,0.0003,Ocean
-75.0,-156.0,0.0003,Ocean
-72.0,-156.0,0.0003,Ocean
-69.0,-156.0,0.0003,Ocean
-66.0,-156.0,0.0003,Ocean
-63.0,-156.0,0.0003,Ocean
-60.0,-156.0,0.0003,Ocean
-57.0,-156.0,0.0003,Ocean
-54.0,-156.0,0.0003,Ocean
-51.0,-156.0,0.0003,Ocean
-48.0,-156.0,0.0003,Ocean
-45.0,-156.0,0.0003,Ocean
-42.0,-156.0,0.0003,Ocean
-39.0,-156.0,0.0003,Ocean
-36.0,-156.0,0.0003,Ocean
-33.0,-156.0,0.0003,Ocean
-30.0,-156.0,0.0003,Ocean
-27.0,-156.0,0.0003,Ocean
-24.0,-156.0,0.0003,Ocean
-21.0,-156.0,0.0003,Ocean
-18.0,-156.0,0.0003,Ocean
-15.0,-156.0,0.0003,Ocean
-12.0,-156.0,0.0003,Ocean
-9.0,-156.0,0.0003,Ocean
-6.0,-156.0,0.0003,Ocean
-3.0,-156.0,0.0003,Ocean
0.0,-156.0,0.0003,Ocean
3.0,-156.0,0.0003,Ocean
6.0,-156.0,0.0003,Ocean
9.0,-156.0,0.0003,Ocean
12.0,-156.0,0.0003,Ocean
15.0,-156.0,0.0003,Ocean
18.0,-156.0,0.0003,Ocean
21.0,-156.0,0.0003,Ocean
24.0,-156.0,0.0003,Ocean
27.0,-156.0,0.0003,Ocean
30.0,-156.0,0.0003,Ocean
33.0,-156.0,0.0003,Ocean
36.0,-156.0,0.0003,Ocean
39.0,-156.0,0.0003,Ocean
42.0,-156.0,0.0003,Ocean
45.0,-156.0,0.0003,Ocean
48.0,-156.0,0.0003,Ocean
51.0,-156.0,0.0003,Ocean
54.0,-156.0,0.0003,Ocean
57.0,-156.0,0.0003,Ocean
