id,name,relative_velocity_kph,estimated_diameter_min_m,estimated_diameter_max_m,is_potentially_hazardous
2036284,36284 (2000 DM8),121477.010616148,2609.4860325471,5834.9881551116,False
2037336,37336 (2001 RM),74349.6918019873,1855.9017300371,4149.9224279225,False
2037638,37638 (1993 VB),34603.697237761,370.3010782229,828.0183830478,True
2037655,37655 Illapa (1994 PM),121443.082131479,715.4099508838,1599.7052819559,True
2038071,38071 (1999 GU3),12774.0485366792,324.0074353942,724.5026507569,True
2038086,38086 Beowulf (1999 JB),76560.1102278529,900.647767018,2013.9096308356,False
2038239,38239 (1999 OR3),12393.046543144,573.5284639528,1282.4486324295,False
2039565,39565 (1992 SL),22272.2157165434,540.2004935068,1207.9250249602,False
2039572,39572 (1993 DQ1),30042.7715280733,1295.8507266948,2897.6103135821,True
2040263,40263 (1999 FQ5),36813.36288587,745.6842609676,1667.4006972752,False
2040267,40267 (1999 GJ4),122816.6037065743,2072.7884337708,4634.8958408869,False
2040329,40329 (1999 ML),9925.8980597114,763.0534787022,1706.2394488457,False
2041429,41429 (2000 GE2),51524.4368126966,196.1349443683,438.5710683707,True
2041440,41440 (2000 HZ23),25695.1900701217,280.902093949,628.116177092,False
2042286,42286 (2001 TN41),60207.9901225988,1254.7435636786,2805.6919027157,False
2048603,48603 (1995 BC2),46909.7807890381,725.3622946704,1621.9593991982,False
2052340,52340 (1992 SY),32843.3688840497,640.5528629449,1432.3197447269,False
2052381,52381 (1993 HA),13101.1268814514,258.5562120799,578.1492662155,False
2052387,52387 Huitzilopochtli (1993 OM7),47101.7702433186,749.1261831301,1675.0970692038,False
2052689,52689 (1998 FF2),24226.0696016772,396.7847540661,887.2376825273,False
2052750,52750 (1998 KK17),56009.1762625486,1231.8419126591,2754.482254239,False
2052760,52760 (1998 ML14),36742.6282874591,832.8273455231,1862.2585581103,True
2052761,52761 (1998 MN14),36278.3795406048,680.0721287395,1520.6875094646,False
2052762,52762 (1998 MT24),79415.299218213,2901.0484142808,6486.9414603498,False
2052768,52768 (1998 OR2),13979.6362746186,1661.7090173978,3715.6943217258,True
2053319,53319 (1999 JM8),29334.6272512337,2262.3249055419,5058.7122759825,True
2053409,53409 (1999 LU7),45968.7941452346,477.0401980121,1066.694310755,False
2053426,53426 (1999 SL5),74905.1458091546,969.5159909283,2167.9036609887,True
2053429,53429 (1999 TF5),89235.6757251091,441.1181999969,986.3702813054,False
2053435,53435 Leonard (1999 VM40),11525.1128554916,3009.9201654801,6730.3860968609,False
2053550,53550 (2000 BF19),57939.4013160132,409.783980394,916.3048362514,True
2053789,53789 (2000 ED104),88029.7166751682,900.647767018,2013.9096308356,True
2054071,54071 (2000 GQ146),45199.085068093,868.0704579141,1941.0645531552,False
2054401,54401 (2000 LM),34889.3216924288,951.8203298188,2128.3349598411,False
2054509,54509 YORP (2000 PH5),53821.7455406947,78.0827277491,174.5982871157,False
2054660,54660 (2000 UJ1),93241.3642366738,692.7156135897,1548.9592010621,False
2054686,54686 (2001 DU8),57536.9962998682,1266.3535629288,2831.6526502578,False
2054690,54690 (2001 EB),65186.2349319949,840.5334020728,1879.4898243938,False
2055408,55408 (2001 TC2),50208.8816770754,447.2547654325,1000.0920587679,False
2055532,55532 (2001 WG2),108150.9164174722,1579.6285576002,3532.156833994,False
2065674,65674 (1988 SM),21421.6707029118,589.5966083829,1318.3780956475,False
2065679,65679 (1989 UQ),34303.6636353764,318.0936332215,711.2789870931,True
2065690,65690 (1991 DG),28119.0618065309,409.783980394,916.3048362514,True
2065706,65706 (1992 NA),31012.2949945555,1289.8968334309,2884.2970035133,False
2065717,65717 (1993 BX3),21422.4356295504,178.0553291829,398.1438198091,True
2065733,65733 (1993 PC),42417.9282104147,563.0603897491,1259.0413069164,False
2065803,65803 Didymos (1996 GT),32322.1716441879,634.6802389983,1419.1881583761,True
2065909,65909 (1998 FH12),76294.9120765594,366.9061375314,820.4270648822,True
2065996,65996 (1998 MX5),21835.7528595754,532.7886648737,1191.3516722989,False
2066008,66008 (1998 QH2),122993.628169869,1732.0282714137,3872.9329538325,False
