latitude,longitude,k_value,description
-7.4565,117.3277,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-7.1008,118.1751,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-6.7844,118.7498,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-6.6235,121.0834,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-5.9414,118.19,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-5.4721,118.4331,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-5.4678,117.6036,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-3.6686,121.5297,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.2571,120.4954,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-1.3036,121.5462,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-5.3122,123.5835,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-5.336,121.9619,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-5.0345,122.5279,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-5.0269,122.9535,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-4.4156,122.0883,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-4.1037,123.1048,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-3.5864,123.1239,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-4.1789,120.0223,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-3.7835,116.1591,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-1.3833,122.355,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-1.3642,123.1434,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-9.6697,119.443,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-9.6076,124.1901,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-8.8407,125.526,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-3.5092,116.3795,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-2.9427,115.9501,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-2.044,123.8665,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-2.0226,123.7706,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9897,124.3377,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9407,123.477,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.921,123.543,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9325,123.6544,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9301,123.7213,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9001,123.681,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.9497,123.8106,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.8706,123.7634,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.8717,123.3753,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.8272,123.1051,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.7359,123.326,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.8273,124.5523,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-1.8532,120.8128,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
